Chatbot智能对话系统测试用例文档
测试用例编号	测试用例名称	优先级	前置条件	操作步骤	预期结果
70	验证生成系统按钮的加载状态	P1	用户点击生成系统按钮系统正在生成	1. 点击生成系统按钮<br>2. 立即观察按钮的视觉变化<br>3. 观察是否显示加载动画<br>4. 检查按钮是否禁用防止重复点击	1. 按钮响应点击<br>2. 按钮显示加载状态图标变化或文字变化<br>3. 显示加载动画或进度提示<br>4. 按钮处于禁用状态无法再次点击防止重复提交
71	验证点赞按钮显示	P1	AI完成一次回答	1. 查看AI回答下方的反馈区域<br>2. 定位点赞按钮<br>3. 观察按钮的样式和图标	1. 反馈区域清晰可见<br>2. 点赞按钮显示在回答下方<br>3. 按钮图标为赞图标样式符合设计规范
72	验证点击点赞按钮	P1	AI回答下方显示点赞按钮	1. 点击点赞按钮<br>2. 观察按钮的状态变化<br>3. 检查是否有视觉反馈	1. 按钮响应点击<br>2. 按钮变为已点赞状态高亮或颜色变化<br>3. 显示点赞成功的视觉反馈如图标变实心
73	验证取消点赞	P1	用户已对某个回答点赞	1. 再次点击已点赞的按钮<br>2. 观察按钮状态变化<br>3. 确认点赞状态已取消	1. 按钮响应点击<br>2. 按钮恢复为未点赞状态<br>3. 点赞状态已取消图标恢复为空心或原始样式
74	验证点踩按钮显示	P1	AI完成一次回答	1. 查看AI回答下方的反馈区域<br>2. 定位点踩按钮<br>3. 观察按钮的样式和图标	1. 反馈区域清晰可见<br>2. 点踩按钮显示在回答下方点赞按钮旁边<br>3. 按钮图标为踩图标样式符合设计规范
75	验证点击点踩按钮弹出反馈弹窗	P1	AI回答下方显示点踩按钮	1. 点击点踩按钮<br>2. 观察系统响应<br>3. 检查弹窗内容	1. 按钮响应点击<br>2. 系统弹出反馈弹窗<br>3. 弹窗显示反馈标签选项和文字输入框
76	验证反馈弹窗显示三个标签选项	P1	点踩反馈弹窗已打开	1. 查看弹窗中的标签区域<br>2. 统计标签数量<br>3. 读取每个标签的文字	1. 标签区域清晰显示<br>2. 显示3个标签选项<br>3. 标签文字分别为没有帮助有害或不安全其他
77	验证选择单个反馈标签	P1	点踩反馈弹窗已打开	1. 点击没有帮助标签<br>2. 观察标签的状态变化<br>3. 确认标签是否被选中	1. 标签响应点击<br>2. 标签显示选中状态背景色或边框变化<br>3. 标签已被标记为选中状态
78	验证选择多个反馈标签	P1	点踩反馈弹窗已打开	1. 点击没有帮助标签<br>2. 再点击有害或不安全标签<br>3. 观察两个标签的状态<br>4. 确认是否支持多选	1. 第一个标签被选中<br>2. 第二个标签也被选中<br>3. 两个标签同时保持选中状态<br>4. 系统支持同时选择多个标签
79	验证取消选择反馈标签	P1	用户已选中某个反馈标签	1. 再次点击已选中的标签<br>2. 观察标签状态变化<br>3. 确认标签是否取消选中	1. 标签响应点击<br>2. 标签恢复为未选中状态<br>3. 标签选中状态已取消
80	验证只填写文字不选标签提交反馈	P1	点踩反馈弹窗已打开	1. 不选择任何标签<br>2. 在文字输入框输入这个回答不够详细<br>3. 点击提交按钮<br>4. 观察系统响应	1. 标签保持未选中状态<br>2. 文字输入成功<br>3. 提交按钮响应点击<br>4. 反馈提交成功弹窗关闭点踩按钮显示已点踩状态
81	验证只选标签不填写文字提交反馈	P1	点踩反馈弹窗已打开	1. 选择没有帮助标签<br>2. 不在文字输入框输入任何内容<br>3. 点击提交按钮<br>4. 观察系统响应	1. 标签被选中<br>2. 文字输入框保持空白<br>3. 提交按钮响应点击<br>4. 反馈提交成功弹窗关闭点踩按钮显示已点踩状态
82	验证同时选择标签和填写文字提交反馈	P1	点踩反馈弹窗已打开	1. 选择没有帮助标签<br>2. 在文字输入框输入建议增加具体案例说明<br>3. 点击提交按钮<br>4. 观察系统响应	1. 标签被选中<br>2. 文字输入成功<br>3. 提交按钮响应点击<br>4. 反馈提交成功弹窗关闭包含标签和文字的完整反馈已保存
83	验证不选标签不填文字提交反馈	P2	点踩反馈弹窗已打开	1. 不选择任何标签<br>2. 不在文字输入框输入任何内容<br>3. 点击提交按钮<br>4. 观察系统响应	1. 标签保持未选中<br>2. 文字输入框保持空白<br>3. 提交按钮响应点击<br>4. 系统提示请至少选择一个标签或填写反馈内容或允许提交空反馈根据产品设计决定
84	验证取消反馈提交	P1	点踩反馈弹窗已打开用户已填写部分内容	1. 点击弹窗的取消按钮或关闭按钮<br>2. 观察弹窗状态<br>3. 查看点踩按钮状态	1. 取消按钮响应点击<br>2. 弹窗关闭填写的内容不保存<br>3. 点踩按钮恢复为未点踩状态反馈未提交
85	验证点赞和点踩的互斥关系	P1	AI回答下方显示点赞和点踩按钮	1. 先点击点赞按钮<br>2. 观察点赞状态<br>3. 再点击点踩按钮<br>4. 观察两个按钮的状态变化	1. 点赞按钮变为已点赞状态<br>2. 点赞状态已激活<br>3. 点踩反馈弹窗打开<br>4. 点赞状态自动取消点踩和点赞互斥只能选择其一
86	验证消息发送响应时间	P1	用户已进入对话界面	1. 记录发送消息前的时间<br>2. 在输入框输入消息并发送<br>3. 记录AI开始显示思考状态的时间<br>4. 计算响应时间	1. 时间记录成功<br>2. 消息成功发送<br>3. AI在1秒内开始显示思考状态<br>4. 响应时间不超过1秒满足性能要求
87	验证历史任务加载时间	P1	左侧边栏有多个历史任务	1. 记录点击历史任务前的时间<br>2. 点击某个包含20轮对话的历史任务<br>3. 记录对话内容完全加载完成的时间<br>4. 计算加载时间	1. 时间记录成功<br>2. 任务项响应点击<br>3. 对话内容在2秒内完全加载完成<br>4. 加载时间不超过2秒满足性能要求
88	验证打字机效果显示速度	P1	AI正在输出回复内容	1. 观察AI回复的打字机效果<br>2. 估算字符显示速度<br>3. 检查是否有卡顿现象<br>4. 评估用户体验	1. 打字机效果流畅显示<br>2. 显示速度约为30到50字符每秒<br>3. 无明显卡顿现象<br>4. 用户体验流畅自然
89	验证大量历史任务下的列表滚动性能	P1	用户已创建500个历史任务	1. 展开左侧边栏<br>2. 快速滚动历史任务列表<br>3. 观察滚动的流畅度<br>4. 检查是否有卡顿或延迟	1. 左侧边栏成功展开<br>2. 列表响应滚动操作<br>3. 滚动流畅无明显卡顿<br>4. 在大数据量下性能表现良好
90	验证长对话加载性能	P1	历史任务中有一个包含100轮对话的任务	1. 点击该历史任务<br>2. 观察加载过程<br>3. 记录加载完成时间<br>4. 测试滚动查看对话的流畅度	1. 任务项响应点击<br>2. 系统开始加载显示加载提示<br>3. 加载时间在可接受范围内不超过3秒<br>4. 滚动查看流畅无卡顿
91	验证并发用户场景下的系统性能	P1	模拟多个用户同时使用系统	1. 10个用户同时发送消息<br>2. 观察系统响应<br>3. 检查是否有延迟或错误<br>4. 验证数据隔离	1. 所有用户的消息都成功发送<br>2. 系统正常响应每个用户<br>3. 响应时间在可接受范围内无明显延迟<br>4. 各用户数据正确隔离无串数据
92	验证系统长时间运行的稳定性	P2	系统已持续运行24小时以上	1. 检查系统运行状态<br>2. 测试基本功能是否正常<br>3. 查看系统资源使用情况<br>4. 检查是否有内存泄漏	1. 系统运行正常<br>2. 所有基本功能正常可用<br>3. 内存CPU等资源使用在正常范围内<br>4. 无内存泄漏现象系统稳定可靠
93	验证新用户首次使用体验	P1	新用户首次登录系统	1. 观察用户进入系统后的界面<br>2. 检查是否有引导提示<br>3. 测试用户能否快速理解功能<br>4. 记录用户反馈	1. 界面简洁清晰<br>2. 显示必要的功能说明或引导<br>3. 用户能在3分钟内理解基本功能<br>4. 用户反馈体验良好
94	验证操作反馈的及时性	P1	用户进行各种操作	1. 点击按钮<br>2. 提交表单<br>3. 切换页面<br>4. 观察每次操作的反馈	1. 按钮点击有视觉反馈如变色或动画<br>2. 表单提交显示加载状态<br>3. 页面切换流畅有过渡动画<br>4. 所有操作都有明确及时的反馈
95	验证错误提示的清晰度	P1	触发各种错误场景	1. 上传超大文件<br>2. 输入非法字符<br>3. 网络断开时操作<br>4. 观察每次的错误提示	1. 显示错误提示图片文件过大请选择小于5MB的图片<br>2. 显示错误提示请输入有效内容<br>3. 显示网络异常提示<br>4. 所有错误提示清晰易懂并提供解决建议
96	验证界面一致性	P1	浏览系统各个页面和功能	1. 对比不同页面的布局<br>2. 检查按钮样式的一致性<br>3. 观察颜色和字体的使用<br>4. 评估整体一致性	1. 页面布局风格统一<br>2. 相同功能的按钮样式一致<br>3. 颜色和字体符合设计规范统一使用<br>4. 整体界面风格一致用户体验统一
97	验证交互流畅性	P1	用户完成一次完整的对话流程	1. 从进入系统到发起对话<br>2. 进行多轮对话交互<br>3. 查看历史任务<br>4. 评估整个流程的流畅度	1. 系统启动快速<br>2. 对话交互流畅无卡顿<br>3. 页面切换和数据加载流畅<br>4. 整个流程用户体验流畅自然
98	验证Chrome浏览器兼容性	P1	使用Chrome浏览器访问系统	1. 在Chrome浏览器中打开系统<br>2. 测试所有核心功能<br>3. 检查界面显示<br>4. 测试交互功能	1. 系统正常打开<br>2. 所有功能正常工作<br>3. 界面显示正确无错位<br>4. 交互功能响应正常
99	验证Firefox浏览器兼容性	P1	使用Firefox浏览器访问系统	1. 在Firefox浏览器中打开系统<br>2. 测试所有核心功能<br>3. 检查界面显示<br>4. 测试交互功能	1. 系统正常打开<br>2. 所有功能正常工作<br>3. 界面显示正确无错位<br>4. 交互功能响应正常
100	验证Edge浏览器兼容性	P1	使用Edge浏览器访问系统	1. 在Edge浏览器中打开系统<br>2. 测试所有核心功能<br>3. 检查界面显示<br>4. 测试交互功能	1. 系统正常打开<br>2. 所有功能正常工作<br>3. 界面显示正确无错位<br>4. 交互功能响应正常
101	验证Safari浏览器兼容性	P2	使用Safari浏览器访问系统	1. 在Safari浏览器中打开系统<br>2. 测试所有核心功能<br>3. 检查界面显示<br>4. 测试交互功能	1. 系统正常打开<br>2. 所有功能正常工作<br>3. 界面显示正确无错位<br>4. 交互功能响应正常
102	验证桌面设备适配	P1	在桌面电脑上访问系统分辨率1920x1080	1. 打开系统<br>2. 观察页面布局<br>3. 测试各功能区域<br>4. 检查内容显示完整性	1. 系统正常打开<br>2. 页面布局合理利用屏幕空间<br>3. 所有功能区域正常显示和使用<br>4. 内容显示完整清晰
103	验证平板设备适配	P2	在平板设备上访问系统	1. 打开系统<br>2. 观察页面布局<br>3. 测试触摸交互<br>4. 检查内容显示	1. 系统正常打开<br>2. 页面布局自动适配平板屏幕<br>3. 触摸交互响应正常<br>4. 内容显示完整适配良好
104	验证对话数据完整性	P0	用户进行多次对话操作	1. 创建一个新对话发送10轮消息<br>2. 记录所有对话内容<br>3. 刷新页面或重新登录<br>4. 查看该对话验证数据完整性	1. 对话创建成功所有消息发送成功<br>2. 对话内容已记录<br>3. 页面刷新或重新登录成功<br>4. 对话内容完整保存所有10轮对话都在无遗漏
105	验证异常关闭后数据恢复	P0	用户正在进行对话	1. 在对话中发送5条消息<br>2. 强制关闭浏览器或终止进程<br>3. 重新打开系统并登录<br>4. 查看对话状态	1. 5条消息成功发送<br>2. 浏览器强制关闭<br>3. 系统重新打开成功登录<br>4. 之前的对话自动保存为历史任务可以继续对话
106	验证长时间保存的数据加载	P1	系统中有30天前创建的历史任务	1. 在历史任务列表中找到30天前的任务<br>2. 点击该任务<br>3. 观察数据加载<br>4. 验证数据完整性	1. 成功找到30天前的任务<br>2. 任务响应点击<br>3. 数据正常加载无报错<br>4. 历史对话内容完整准确长时间保存不影响数据质量
107	验证并发写入数据一致性	P1	多个操作同时修改数据	1. 用户A编辑某个历史任务名称<br>2. 同时用户B也编辑同一任务<br>3. 两个用户同时提交<br>4. 检查最终数据状态	1. 用户A开始编辑<br>2. 用户B也开始编辑<br>3. 两个编辑同时提交<br>4. 系统正确处理并发写入最终数据状态一致无冲突或显示冲突提示
108	验证数据备份和恢复机制	P2	系统管理员执行数据备份恢复操作	1. 备份当前所有对话数据<br>2. 创建新的对话<br>3. 执行数据恢复到备份点<br>4. 验证数据状态	1. 数据备份成功<br>2. 新对话创建成功<br>3. 数据恢复成功<br>4. 系统恢复到备份时的状态新对话被回滚原有数据完整
